Date,KO,PEP,spread
2014-07-02,29.904136657714844,64.83173370361328,-44.22734493844273
2014-07-03,29.861703872680664,65.084716796875,-43.81961133380484
2014-07-07,29.798057556152344,64.96908569335938,-43.703127104281805
2014-07-08,29.656627655029297,64.87508392333984,-43.2813402098278
2014-07-09,29.6636962890625,64.90399932861328,-43.27820380375246
2014-07-10,29.882915496826172,65.14259338378906,-43.839092612536234
2014-07-11,29.677841186523438,64.9618148803711,-43.27197407445907
2014-07-14,29.967777252197266,65.85115051269531,-43.44002259434821
2014-07-15,29.769775390625,65.31611633300781,-43.25295264377277
2014-07-16,29.783924102783203,65.43179321289062,-43.18887549838847
2014-07-17,29.713207244873047,65.06306457519531,-43.29970284782996
2014-07-18,30.003122329711914,65.13536834716797,-44.28470671188309
2014-07-21,29.981910705566406,65.00523376464844,-44.33748342875717
2014-07-22,29.12628936767578,64.47019958496094,-41.752104006644146
2014-07-23,28.857587814331055,65.66316986083984,-39.57919091640197
2014-07-24,28.970720291137695,66.45125579833984,-39.20369417437847
2014-07-25,28.99193572998047,66.19095611572266,-39.541365634675216
2014-07-28,28.765663146972656,65.77159118652344,-39.13552434885321
2014-07-29,28.53231430053711,65.17151641845703,-38.8845860786321
2014-07-30,28.016109466552734,64.28223419189453,-37.89129184999412
2014-07-31,27.782764434814453,63.69657516479492,-37.6259517508403
2014-08-01,27.782764434814453,63.70383071899414,-37.61869619664108
2014-08-04,27.860551834106445,64.8461685180664,-36.76004564103778
2014-08-05,27.704978942871094,64.49188232421875,-36.54696430396456
2014-08-06,28.228256225585938,65.43901062011719,-37.5082053744988
2014-08-07,27.825193405151367,64.99799346923828,-36.479270045739
2014-08-08,27.895898818969727,65.27996826171875,-36.45515480541003
2014-08-11,27.980758666992188,66.36447143554688,-35.68013178628307
2014-08-12,28.058544158935547,65.94512939453125,-36.38315411475061
2014-08-13,28.242395401000977,66.32830047607422,-36.67048047295502
2014-08-14,28.41209602355957,66.36447143554688,-37.253200262714174
2014-08-15,28.90709114074707,66.40785217285156,-39.01504507098156
2014-08-18,29.239421844482422,66.62474822998047,-40.01014455710113
2014-08-19,29.175798416137695,66.41510009765625,-39.987760828591306
2014-08-20,29.16872787475586,66.68260192871094,-39.694473042321476
2014-08-21,29.281856536865234,66.55245971679688,-40.23719053767793
2014-08-22,29.076797485351562,66.22710418701172,-39.81470467410438
2014-08-25,29.281856536865234,67.37667846679688,-39.41297178767793
2014-08-26,29.41621971130371,66.95008087158203,-40.32958600418526
2014-08-27,29.41621971130371,66.68260192871094,-40.59706494705635
2014-08-28,29.43743324279785,66.93563079833984,-40.421400899089946
2014-08-29,29.50107192993164,66.8705825805664,-40.71853662583385
2014-09-02,29.444501876831055,66.86334991455078,-40.519460782077104
2014-09-03,29.543498992919922,67.53689575195312,-40.20695309777213
2014-09-04,29.60713005065918,66.88154602050781,-41.09436251411968
2014-09-05,29.585920333862305,66.80874633789062,-41.089811287108475
2014-09-08,29.543498992919922,66.88882446289062,-40.85502438683463
2014-09-09,29.656627655029297,66.56844329833984,-41.5879808348278
2014-09-10,29.81927490234375,66.83785247802734,-41.91173905331044
2014-09-11,29.879804611206055,66.7359390258789,-42.23440170663309
2014-09-12,29.530794143676758,66.16795349121094,-41.529561328924856
2014-09-15,29.559295654296875,66.40824127197266,-41.393217310984824
2014-09-16,29.659013748168945,67.40583038330078,-40.75929572720007
2014-09-17,29.63764762878418,67.60970306396484,-40.477501743509265
2014-09-18,29.76585578918457,67.98837280273438,-40.56640155900247
2014-09-19,29.9510498046875,68.29419708251953,-40.93597175496994
2014-09-22,30.072126388549805,68.14128112792969,-41.53044871606167
2014-09-23,29.837081909179688,67.66796875,-41.14656415654379
2014-09-24,30.107742309570312,68.08301544189453,-41.71860410852588
2014-09-25,29.758737564086914,67.4786376953125,-41.05017681078287
2014-09-26,30.057886123657227,67.81361389160156,-41.80618232907274
2014-09-29,30.09349822998047,67.82817077636719,-41.921501238702064
2014-09-30,30.38552474975586,67.78445434570312,-43.030225616269476
2014-10-01,30.44251251220703,67.4640884399414,-43.55842339953814
2014-10-02,30.38552474975586,67.41312408447266,-43.401555877499945
2014-10-03,30.627695083618164,68.08301544189453,-43.614849137235325
2014-10-06,31.055065155029297,67.98837280273438,-45.268091737356514
2014-10-07,31.282989501953125,67.79175567626953,-46.295938989610406
2014-10-08,31.731719970703125,68.40342712402344,-47.32076793779311
2014-10-09,31.247377395629883,68.13399505615234,-45.823823815332645
2014-10-10,31.674741744995117,68.92041778564453,-46.59598017875034
2014-10-13,31.38983726501465,68.40342712402344,-46.07393666114365
2014-10-14,31.08355712890625,67.72620391845703,-45.634169604370285
2014-10-15,30.791526794433594,66.82330322265625,-45.472048441233596
2014-10-16,30.314300537109375,66.10968780517578,-44.44524056800694
2014-10-17,30.54224395751953,66.63398742675781,-44.75224063238447
2014-10-20,30.834253311157227,68.11943817138672,-44.331735230505444
2014-10-21,28.97523307800293,68.25048828125,-37.42091962781551
2014-10-22,28.9324951171875,68.78205871582031,-36.73348571914056
2014-10-23,29.103445053100586,68.27235412597656,-37.866637249385775
2014-10-24,29.22452163696289,68.88399505615234,-37.69655732571189
2014-10-27,29.032207489013672,68.89854431152344,-36.98064678292964
2014-10-28,28.88976287841797,69.36458587646484,-35.99511595244256
2014-10-29,29.174665451049805,68.94952392578125,-37.44920512633688
2014-10-30,29.488075256347656,69.64857482910156,-37.89314607710014
2014-10-31,29.829952239990234,70.02720642089844,-38.76132489390156
2014-11-03,29.780101776123047,69.77963256835938,-38.82709628474568
2014-11-04,29.7872257232666,70.43498229980469,-38.19772727699299
2014-11-05,30.136232376098633,70.5514907836914,-39.35403079344837
2014-11-06,30.121992111206055,70.49322509765625,-39.360362856166475
2014-11-07,30.143354415893555,70.4859390258789,-39.44555631893644
2014-11-10,30.193214416503906,70.60975646972656,-39.503576116869
2014-11-11,30.2786922454834,70.41311645507812,-40.01195003574375
2014-11-12,30.421140670776367,70.74807739257812,-40.19649227582353
2014-11-13,30.478126525878906,71.75296020507812,-39.39943438481342
2014-11-14,30.435380935668945,71.1558609008789,-39.840642390839804
