Date,KO,PEP,spread,rolling_mean,rolling_std,z_score,signal,position,cumulative_returns
2017-12-05,36.5855598449707,93.86292266845705,-39.56301414978401,-41.92811034125126,2.3728303331233427,0.9967405416442439,0,-1.0,0.4701843867235023
2017-12-06,36.7358283996582,94.9085922241211,-39.06536744161667,-41.75302087289458,2.384166003606832,1.1272929096430166,0,-1.0,0.47609864066276913
2017-12-07,36.20594787597656,93.17646026611328,-38.865048302154605,-41.565682243843206,2.3828832808819596,1.1333471359491156,0,-1.0,0.4785399762047722
2017-12-08,35.83423614501953,93.04875183105467,-37.637140309873246,-41.33768850424034,2.421629275240929,1.5281233309334374,0,-1.0,0.49365903785728
2017-12-11,35.85005187988281,93.70328521728516,-37.04028621704552,-41.101622995389235,2.4851727877067886,1.6342271243406554,0,-1.0,0.501487539565451
2017-12-12,35.81840896606445,93.71126556396484,-36.916905547458015,-40.85636657319631,2.52399516889171,1.5608037108359916,0,-1.0,0.503157987468008
2017-12-13,36.30085754394531,94.03055572509766,-38.35708425172322,-40.66299896865191,2.484220217256451,0.9282247607964966,0,-1.0,0.4835291099202726
2017-12-14,36.40365982055664,94.2061767578125,-38.5563786261263,-40.49079758200903,2.4435512869120286,0.7916424616269446,0,-1.0,0.4810168065649176
2017-12-15,36.53019332885742,95.1640396118164,-38.05997794341266,-40.29230650494858,2.3886679754989912,0.9345495415994697,0,-1.0,0.48720973960696845
2017-12-18,36.32458114624024,94.23011779785156,-38.24404111907344,-40.095858566594075,2.302312105805871,0.8043294577007196,0,-1.0,0.4848535277347953
2017-12-19,36.48274612426758,94.67711639404295,-38.373863280977815,-39.92605110109454,2.2317991364723677,0.695487239308706,0,-1.0,0.48320765738909843
2017-12-20,36.443206787109375,95.00439453125,-37.902386910263886,-39.72768155036296,2.1329674198635202,0.8557536430705851,0,-1.0,0.4891445366378428
2017-12-21,36.06358337402344,94.39775848388672,-37.124552971551736,-39.52092947564734,2.0717718013212987,1.1566797571852685,0,-1.0,0.4991827757184932
2017-12-22,36.0556869506836,94.66912078857422,-36.82439275626516,-39.28566124890598,1.956976198703172,1.2576895387239897,0,-1.0,0.5032187787793739
2017-12-26,36.22968673706055,94.90060424804688,-37.22747890846159,-39.06782691879915,1.7987861425431984,1.023105508104258,0,-1.0,0.49771045926427065
2017-12-27,36.32458114624024,95.22789764404295,-37.24626127288204,-38.86753972613618,1.6443904625160661,0.9859449383897784,0,-1.0,0.49745934961366134
2017-12-28,36.15848922729492,95.2677993774414,-36.60062957451589,-38.62347560957972,1.3922851809802064,1.4528963338097804,0,-1.0,0.5060823768325845
2017-12-29,36.28503036499024,95.7228012084961,-36.60711773881971,-38.42131176790648,1.2129197939783805,1.4957246456801643,0,-1.0,0.5059926640147907
2018-01-02,36.01614761352539,94.23809051513672,-37.11122479619576,-38.264179856571175,1.0513265779930117,1.0966669011416124,0,-1.0,0.4990247711932296
2018-01-03,35.93704605102539,93.99063873291016,-37.07019663920392,-38.17125053438239,1.0285469144586203,1.070494578030999,0,-1.0,0.4995764659100645
2018-01-04,36.443206787109375,94.45361328125,-38.453168160263886,-38.15433699159664,1.0192495071660286,-0.2931874546578235,0,-1.0,0.48093885166512856
2018-01-05,36.4352912902832,94.72500610351562,-38.15290786722869,-38.127022791461904,1.0074843775507865,-0.025692781291273552,0,-1.0,0.4846942467974914
2018-01-08,36.37994003295898,94.18220520019533,-38.493845155673455,-38.07972003252373,0.9525590457627704,-0.434750081889264,0,-1.0,0.48036298211897777
2018-01-09,36.56182861328125,94.25408172607422,-39.08530832799445,-38.069987323425906,0.940256249016335,-1.0798343596553988,0,-1.0,0.4729821394902235
2018-01-10,36.4352912902832,93.7751235961914,-39.10279037455291,-38.05760982487856,0.9234284545096314,-1.1318478920268615,0,-1.0,0.47277058440373165
2018-01-11,36.41157913208008,93.29620361328124,-39.49523315346124,-38.08929693974214,0.9564363312975959,-1.4699736592101953,0,-1.0,0.46802577207314516
2018-01-12,36.4985580444336,93.69530487060548,-39.413340185783966,-38.15157221166377,0.9803046250957725,-1.287118250612075,0,-1.0,0.4689962187920085
2018-01-16,36.799102783203125,94.07843780517578,-40.12628077027532,-38.18898684693648,1.033908428608006,-1.8737577426920697,0,-1.0,0.46051263336703063
2018-01-17,37.0284538269043,95.13211822509766,-39.90903357689808,-38.20684970367228,1.059387973726505,-1.606761559920483,0,-1.0,0.46300588903870654
2018-01-18,37.07590103149414,95.0283203125,-40.185869369704,-38.22703752330804,1.0917384004341317,-1.7942318834045101,0,-1.0,0.45979417001477013
2018-01-19,37.29734802246094,95.92234802246094,-40.099449151620405,-38.24491869003592,1.1184408635136047,-1.658139041664164,0,-1.0,0.46078296316692713
2018-01-22,37.47134017944336,96.99195861816406,-39.66438034351816,-38.26488578676597,1.1387555771969275,-1.2289683447233475,0,-1.0,0.4657823409344582
2018-01-23,37.52669525146485,96.8243179321289,-40.03389855646296,-38.30384746190958,1.1792726344408364,-1.4670493014312183,0,-1.0,0.46144305574324324
2018-01-24,37.82722473144531,96.69660949707033,-41.25762486244679,-38.4245302803287,1.2888541645838805,-2.1981498450080883,1,1.0,0.44641512299908476
2018-01-25,37.83513641357422,96.50504302978516,-41.47804488846745,-38.572455569376096,1.3762088074649823,-2.1112997557714643,1,1.0,0.4488001084013113
2018-01-26,38.380836486816406,97.19153594970705,-42.78169627145229,-38.76794859350924,1.5397593353036005,-2.606737030856608,1,1.0,0.46290585720346356
2018-01-29,37.72441101074219,95.52322387695312,-42.05605333934375,-38.89124756309659,1.6498866183005851,-1.9181959179152366,0,1.0,0.45505426662182774
2018-01-30,37.495059967041016,95.6988525390625,-41.04399145068976,-38.97416799058204,1.6943877428039584,-1.2215760347052982,0,1.0,0.4441035700169587
2018-01-31,37.63742446899414,96.02610778808594,-41.23593331449575,-39.08003316961814,1.7340520685825755,-1.2432730158096454,0,1.0,0.4461804164429298
2018-02-01,37.52669525146485,96.02610778808594,-40.83210870050593,-39.166302088999224,1.7552755642185205,-0.9490285431326843,0,1.0,0.44181095951647414
2018-02-02,36.95727157592773,94.72500610351562,-40.05654714206537,-39.22239155103548,1.755964938003603,-0.475041142893355,0,1.0,0.4334192401758938
2018-02-05,35.502079010009766,91.364501953125,-38.110027642106274,-39.22931290876355,1.7509847190089993,0.6392318873523684,0,1.0,0.412357539583786
2018-02-06,35.32808303833008,90.64608764648438,-38.19388624911193,-39.2649573513489,1.7172196381671117,0.6237240003731772,0,1.0,0.41326490520373554
2018-02-07,35.2410888671875,90.59821319580078,-37.92449676201216,-39.301627484873805,1.674520964680736,0.8224027957298267,0,1.0,0.410350061185951
2018-02-08,34.08641815185547,87.9241714477539,-36.38750490656632,-39.273628351477285,1.7168846376779674,1.6810235129218443,0,1.0,0.39371952536414767
2018-02-09,34.11015701293945,88.74632263183594,-35.65192831072484,-39.22048391940538,1.8042560498362472,1.977854312310284,0,1.0,0.3857604507057635
2018-02-12,34.77447891235352,89.34498596191406,-37.476017896108246,-39.249663530125126,1.7671215474002324,1.0036919286204424,0,1.0,0.40549743700430024
2018-02-13,34.94846725463867,89.51261901855469,-37.94291271503437,-39.294190029332285,1.7142798779154143,0.7882477836355911,0,1.0,0.4105493251998385
2018-02-14,34.877296447753906,87.09400177001953,-40.101973143257126,-39.39388164090099,1.669327071963223,-0.4241778104774743,0,1.0,0.4339107579008474
2018-02-15,35.415077209472656,88.57870483398438,-40.57853299939532,-39.510826186240706,1.6231784419297566,-0.6577876994751389,0,1.0,0.4390672235845518
2018-02-16,35.57324981689453,88.6505355834961,-41.08355083204759,-39.59850560863349,1.6350759895269826,-0.9082423281401857,0,1.0,0.4445316098315022
2018-02-20,34.7902946472168,87.38935852050781,-39.48932463091725,-39.64305283408978,1.6123806050571214,0.09534237926849833,0,1.0,0.4272817878158449
2018-02-21,34.2762336730957,86.20797729492188,-38.79594796447019,-39.653122927716346,1.6058860635046948,0.5337707218004343,0,1.0,0.41977932418957825
2018-02-22,34.4185791015625,87.21372985839844,-38.30932295365254,-39.62725674857162,1.6215206208746487,0.8127764630018608,0,1.0,0.41451395167279237
2018-02-23,34.82984161376953,87.54898071289062,-39.47392849610954,-39.639628019290164,1.618794759403348,0.10235980949289762,0,1.0,0.4271151987929235
2018-02-26,34.82191848754883,88.55475616455078,-38.43925774961159,-39.60442883916185,1.6334569557006644,0.7133160659568534,0,1.0,0.41591987016939297
2018-02-27,34.4976692199707,88.51483917236328,-37.29665184280381,-39.5338725610625,1.6868379038058945,1.326280796282207,0,1.0,0.4035566631712278
2018-02-28,34.18133544921875,87.58890533447266,-37.068930252468746,-39.431960877135616,1.7412901940455783,1.3570573318263441,0,1.0,0.4010926734942189
2018-03-01,34.34739685058594,86.94158935546875,-38.32186490016751,-39.379055254577935,1.7503832016582541,0.6039765197751421,0,1.0,0.4146496578511
